Title,Name of author,Publisher,Genre,Rating,Rating count,Review count,Book cover,Release date,Num of pages,Edition language,Num of other editions,Reading age,Best sellers rank,Lexile measure,Num of awards,Series,There is a movie
City of Ashes,Cassandra Clare,Margaret K. McElderry Books,Fantasy,4.13,839006.0,32040.0,Hardcover,2008.0,453.0,English,183.0,14 - 17,81279.0,720.0,2,1.0,0
"Hush, Hush",Becca Fitzpatrick,Simon & Schuster BFYR,Young Adult,3.94,642960.0,26743.0,Hardcover,2009.0,391.0,English,111.0,14 - 17,143984.0,640.0,1,1.0,0
City of Glass,Cassandra Clare,Margaret K. McElderry Books,Fantasy,4.29,878771.0,30486.0,Hardcover,2009.0,541.0,English,183.0,,,,3,,0
Clockwork Angel,Cassandra Clare,Margaret K. McElderry Books,Fantasy,4.3,758199.0,35851.0,Hardcover,2010.0,479.0,English,136.0,14 - 17,84028.0,780.0,5,1.0,0
Marked,P.C. Cast,St. Martin's Press,Young Adult,3.8,466712.0,14856.0,Paperback,2007.0,306.0,English,123.0,13 - 17,17969.0,780.0,1,1.0,0
Graceling,Kristin Cashore,Harcourt,Fantasy,4.06,428815.0,23931.0,Hardcover,2008.0,471.0,English,114.0,14 - 17,155746.0,730.0,5,1.0,0
Shiver,Maggie Stiefvater,Scholastic Press,Young Adult,3.76,465821.0,23614.0,Hardcover,2009.0,392.0,English,108.0,13 - 17,,740.0,5,1.0,0
Frostbite,Richelle Mead,Razorbill,Young Adult,4.24,339435.0,11986.0,Paperback,2008.0,327.0,English,111.0,12 - 17,22942.0,670.0,0,1.0,0
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,"Little, Brown Books for Young Readers",Young Adult,3.82,188356.0,7772.0,Hardcover,2006.0,284.0,English,63.0,,,,2,0.0,0
The Last Olympian,Rick Riordan,Disney ● Hyperion Books,Fantasy,4.51,786175.0,27994.0,Hardcover,2009.0,381.0,English,60.0,9 - 12,48199.0,620.0,4,1.0,0
Matched,Ally Condie,Dutton Books for Young Readers,Young Adult,3.64,715953.0,34099.0,Hardcover,2010.0,369.0,English,95.0,,,,10,,0
Cinder,Marissa Meyer,Feiwel & Friends,Young Adult,4.13,791308.0,59962.0,Hardcover,2012.0,400.0,English,140.0,12 - 17,1494.0,,5,1.0,0
The Angel Experiment,James Patterson,Grand Central Publishing,Young Adult,4.06,218865.0,9561.0,Mass Market Paperback,2006.0,445.0,English,28.0,,,,2,0.0,0
The Titan's Curse,Rick Riordan,Puffin Books,Fantasy,4.34,812295.0,25456.0,Paperback,2007.0,320.0,English,71.0,,,,1,0.0,0
Shadow Kiss,Richelle Mead,Razorbill,Young Adult,4.32,353045.0,11884.0,Paperback,2008.0,443.0,English,100.0,12 - 17,32840.0,660.0,1,1.0,0
The Battle of the Labyrinth,Rick Riordan,Hyperion Books for Children,Fantasy,4.39,859735.0,23287.0,Hardcover,2008.0,361.0,English,148.0,9 - 12,6425.0,590.0,0,1.0,0
